127.0.0.1, 2020-02-07 13:35:58, GET, /admin/default/index, HTTP/1.1, 303, 0.002818
127.0.0.1, 2020-02-07 13:35:58, GET, /admin/default/site, HTTP/1.1, 200, 0.024663
127.0.0.1, 2020-02-07 13:36:00, GET, /test/default/index, HTTP/1.1, 200, 0.020242
127.0.0.1, 2020-02-07 13:36:01, GET, /test/static/images/background.jpg, HTTP/1.1, 404, 0.000316
127.0.0.1, 2020-02-07 13:36:02, GET, /admin/default/index, HTTP/1.1, 303, 0.003150
127.0.0.1, 2020-02-07 13:36:02, GET, /admin/default/site, HTTP/1.1, 200, 0.024790
127.0.0.1, 2020-02-07 13:36:07, GET, /admin/default/design/test, HTTP/1.1, 200, 0.149850
127.0.0.1, 2020-02-07 13:36:07, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.000635
127.0.0.1, 2020-02-07 13:36:07, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.001738
127.0.0.1, 2020-02-07 13:36:07, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.009124
127.0.0.1, 2020-02-07 13:36:07, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.009148
127.0.0.1, 2020-02-07 13:37:02, GET, /admin/default/peek/test/models/db.py, HTTP/1.1, 200, 0.040910
127.0.0.1, 2020-02-07 13:37:11, GET, /admin/default/design/test, HTTP/1.1, 200, 0.070421
127.0.0.1, 2020-02-07 13:37:12, GET, /admin/default/site, HTTP/1.1, 200, 0.023826
127.0.0.1, 2020-02-07 13:37:14, GET, /test/default/index, HTTP/1.1, 200, 0.017721
127.0.0.1, 2020-02-07 13:37:15, GET, /admin/default/site, HTTP/1.1, 200, 0.022425
127.0.0.1, 2020-02-07 13:37:15, GET, /test/default/index, HTTP/1.1, 200, 0.019066
127.0.0.1, 2020-02-07 13:37:16, GET, /admin/default/site, HTTP/1.1, 200, 0.024538
127.0.0.1, 2020-02-07 13:37:17, GET, /test/default/index, HTTP/1.1, 200, 0.013679
127.0.0.1, 2020-02-07 13:37:18, GET, /admin/default/site, HTTP/1.1, 200, 0.024339
127.0.0.1, 2020-02-07 13:37:20, GET, /admin/default/design/test, HTTP/1.1, 200, 0.072376
127.0.0.1, 2020-02-07 13:37:23, GET, /admin/default/edit/test/models/db.py, HTTP/1.1, 200, 0.041883
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002196
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001140
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001146
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.008127
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001012
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.012134
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.016380
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.021170
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.020030
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.023643
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.026972
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.030476
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.030791
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.030092
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.035267
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.035818
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.036835
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.036599
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.035910
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.036519
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.036174
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.036669
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.036097
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.035750
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.036169
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.035997
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.036616
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.037259
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.037447
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.037732
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.038335
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.038201
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.080268
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000754
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001234
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/default/edit/test/models/db.py, HTTP/1.1, 200, 0.014122
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.034417
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.008148
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.049365
127.0.0.1, 2020-02-07 13:37:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085449
127.0.0.1, 2020-02-07 13:37:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.288610
127.0.0.1, 2020-02-07 13:37:24, GET, /test/appadmin/hooks, HTTP/1.1, 200, 0.306946
127.0.0.1, 2020-02-07 13:37:25, GET, /admin/default/design/test, HTTP/1.1, 200, 0.072217
127.0.0.1, 2020-02-07 13:37:27, GET, /admin/default/edit/test/models/db.py, HTTP/1.1, 200, 0.016410
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001183
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001145
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000736
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/default/edit/test/models/db.py, HTTP/1.1, 200, 0.014654
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.124058
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.163046
127.0.0.1, 2020-02-07 13:37:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.184634
127.0.0.1, 2020-02-07 13:37:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.163705
127.0.0.1, 2020-02-07 13:37:29, GET, /test/appadmin/hooks, HTTP/1.1, 200, 1.391314
127.0.0.1, 2020-02-07 13:37:39, GET, /admin/default/design/test, HTTP/1.1, 200, 0.071211
127.0.0.1, 2020-02-07 13:38:04, GET, /admin/default/peek/test/models/db.py, HTTP/1.1, 200, 0.026686
127.0.0.1, 2020-02-07 13:38:08, GET, /admin/default/design/test, HTTP/1.1, 200, 0.065208
127.0.0.1, 2020-02-07 13:38:26, GET, /admin/default/peek/test/views/default/index.html, HTTP/1.1, 200, 0.014459
127.0.0.1, 2020-02-07 13:38:50, GET, /admin/default/index, HTTP/1.1, 303, 0.004163
127.0.0.1, 2020-02-07 13:38:50, GET, /admin/default/site, HTTP/1.1, 200, 0.031972
127.0.0.1, 2020-02-07 13:38:53, GET, /test/default/index, HTTP/1.1, 200, 0.396191
127.0.0.1, 2020-02-07 13:38:53, GET, /test/static/images/background.jpg, HTTP/1.1, 404, 0.000585
127.0.0.1, 2020-02-07 13:39:22, GET, /admin/default/design/test, HTTP/1.1, 200, 0.066337
127.0.0.1, 2020-02-07 13:39:31, GET, /admin/default/edit_language/test/languages/it.py, HTTP/1.1, 200, 0.101180
127.0.0.1, 2020-02-07 13:40:14, GET, /admin/default/design/test, HTTP/1.1, 200, 0.064105
127.0.0.1, 2020-02-07 13:40:19, GET, /admin/default/edit/test/views/default/index.html, HTTP/1.1, 200, 0.048462
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001167
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/default/edit/test/views/default/index.html, HTTP/1.1, 200, 0.016852
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.047212
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.001339
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080770
127.0.0.1, 2020-02-07 13:40:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.135254
127.0.0.1, 2020-02-07 13:40:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.057717
127.0.0.1, 2020-02-07 13:40:20, GET, /test/appadmin/hooks, HTTP/1.1, 200, 0.276320
127.0.0.1, 2020-02-07 13:41:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106824
127.0.0.1, 2020-02-07 13:41:21, GET, /test/appadmin/hooks, HTTP/1.1, 200, 1.523084
127.0.0.1, 2020-02-07 13:42:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.012667
127.0.0.1, 2020-02-07 13:42:22, GET, /test/appadmin/hooks, HTTP/1.1, 200, 1.462152
127.0.0.1, 2020-02-07 13:43:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.016153
127.0.0.1, 2020-02-07 13:43:23, GET, /test/appadmin/hooks, HTTP/1.1, 200, 1.237454
127.0.0.1, 2020-02-07 13:44:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.014268
127.0.0.1, 2020-02-07 13:44:22, GET, /test/appadmin/hooks, HTTP/1.1, 200, 1.246339
127.0.0.1, 2020-02-07 13:44:27, GET, /test/default/index, HTTP/1.1, 200, 0.396083
